Run,Cell_Line,Sample_Name,Annotated_Subtype,Domcke_Score
SRR8615230,ONCODG1,ONCODG1_OVARY,Serous,1.322109309
SRR8615243,OAW28,OAW28_OVARY,Serous,1.376053198
SRR8615287,EFO27,EFO27_OVARY,Serous,-1.530452668
SRR8615290,EFO21,EFO21_OVARY,Serous,0.340975593
SRR8615438,RMUGS,RMUGS_OVARY,Mucinous,1.148018879
SRR8615439,RMGI,RMGI_OVARY,Clear cell,0.02596364
SRR8615445,NIHOVCAR3,NIHOVCAR3_OVARY,NS,1.295362923
SRR8615478,SNU8,SNU8_OVARY,Serous,1.270457252
SRR8615505,SKOV3,SKOV3_OVARY,NS,-0.331986998
SRR8615507,Caov3,CAOV3_OVARY,NS,1.333663653
SRR8615508,Caov4,CAOV4_OVARY,NS,1.384524542
SRR8615513,OC314,OC314_OVARY,NS,
SRR8615514,OAW42,OAW42_OVARY,Serous,0.143523304
SRR8615729,TOV21G,TOV21G_OVARY,Clear cell,-2.662817581
SRR8615734,OVMANA,OVMANA_OVARY,Clear cell,0.062819118
SRR8615736,FUOV1,FUOV1_OVARY,Serous,1.296977174
SRR8615753,OVKATE,OVKATE_OVARY,Serous,1.392235574
SRR8615757,MCAS,MCAS_OVARY,Mucinous,-0.033768315
SRR8615844,IGROV1,IGROV1_OVARY,Mixed,-1.202109107
SRR8615870,OVCAR4,OVCAR4_OVARY,NS,1.46337116
SRR8615871,OVCAR8,OVCAR8_OVARY,NS,0.755815274
SRR8615873,OV7,OV7_OVARY,Serous,
SRR8615874,OV90,OV90_OVARY,NS,1.187581318
SRR8615876,OV56,OV56_OVARY,Mixed,-0.291924151
SRR8615879,OVISE,OVISE_OVARY,Clear cell,0.14549963
SRR8615880,OVK18,OVK18_OVARY,Endometrioid,-1.220343807
SRR8615895,TYKnu,TYKNU_OVARY,NS,1.422987958
SRR8615915,JHOC5,JHOC5_OVARY,Clear cell,0.262057963
SRR8615916,JHOM1,JHOM1_OVARY,Mucinous,0.983989364
SRR8615917,JHOM2B,JHOM2B_OVARY,Mucinous,1.27592564
SRR8615922,JHOS2,JHOS2_OVARY,Serous,1.343852781
SRR8615923,JHOS4,JHOS4_OVARY,Serous,1.427526494
SRR8615939,SNU119,SNU119_OVARY,Serous,1.536926604
SRR8615948,COV318,COV318_OVARY,Serous,1.460862073
SRR8615949,COV362,COV362_OVARY,Endometrioid,1.521672945
SRR8615955,COV644,COV644_OVARY,Mucinous,0.408548628
SRR8616019,A2780,A2780_OVARY,NS,-0.369552245
SRR8616081,KURAMOCHI,KURAMOCHI_OVARY,NS,1.578277161
SRR8616085,TOV112D,TOV112D_OVARY,Endometrioid,
SRR8616132,HeyA8,HEYA8_OVARY,NS,-0.009508515
SRR8616154,OVTOKO,OVTOKO_OVARY,Clear cell,0.080517021
SRR8616155,OVSAHO,OVSAHO_OVARY,Serous,1.54473315
SRR8616171,X59M,X59M_OVARY,Endometrioid,1.324317369
SRR8616220,ES2,ES2_OVARY,NS,1.294837349
