Run,Cell_Line,Sample_Name,Likely_Subtype,NMF_cluster,sil_width
SRR8616019,A2780,A2780_OVARY,Endometrioid,Endometrioid,0.883458647
SRR8615507,Caov3,CAOV3_OVARY,HGS,HGS,0.929591837
SRR8615508,Caov4,CAOV4_OVARY,HGS,HGS,0.946840522
SRR8615948,COV318,COV318_OVARY,HGS,HGS,0.946840522
SRR8615949,COV362,COV362_OVARY,HGS,HGS,0.730036064
SRR8615955,COV644,COV644_OVARY,Unknown,Mucinous,1
SRR8615290,EFO21,EFO21_OVARY,Unknown,Clear_cell,0.963995868
SRR8615287,EFO27,EFO27_OVARY,Mucinous,Endometrioid,0.130841121
SRR8616220,ES2,ES2_OVARY,Clear_cell,LGS,0.925860711
SRR8615736,FUOV1,FUOV1_OVARY,HGS,HGS,0.909090909
SRR8616132,HeyA8,HEYA8_OVARY,HGS,LGS,0.925860711
SRR8615844,IGROV1,IGROV1_OVARY,Endometrioid,Clear_cell,0.991714751
SRR8615915,JHOC5,JHOC5_OVARY,Clear_cell,Clear_cell,0.963319578
SRR8615916,JHOM1,JHOM1_OVARY,Mucinous,LGS,0.925860711
SRR8615917,JHOM2B,JHOM2B_OVARY,Mucinous,Mucinous,1
SRR8615922,JHOS2,JHOS2_OVARY,HGS,HGS,0.946840522
SRR8615923,JHOS4,JHOS4_OVARY,HGS,HGS,0.946840522
SRR8616081,KURAMOCHI,KURAMOCHI_OVARY,HGS,HGS,0.946840522
SRR8615757,MCAS,MCAS_OVARY,Mucinous,Mucinous,1
SRR8615445,NIHOVCAR3,NIHOVCAR3_OVARY,HGS,HGS,0.946840522
SRR8615243,OAW28,OAW28_OVARY,HGS,HGS,0.946840522
SRR8615514,OAW42,OAW42_OVARY,Unknown,Clear_cell,0.991714751
SRR8615513,OC314,OC314_OVARY,Serous,Endometrioid,0.883458647
SRR8615230,ONCODG1,ONCODG1_OVARY,Unknown,HGS,0.946840522
SRR8615876,OV56,OV56_OVARY,HGS,LGS,0.032620922
SRR8615873,OV7,OV7_OVARY,Unknown,LGS,0.925860711
SRR8615874,OV90,OV90_OVARY,Unknown,Mucinous,1
SRR8615870,OVCAR4,OVCAR4_OVARY,HGS,HGS,0.946840522
SRR8615871,OVCAR8,OVCAR8_OVARY,HGS,LGS,0.925860711
SRR8615879,OVISE,OVISE_OVARY,Clear_cell,Clear_cell,0.991714751
SRR8615880,OVK18,OVK18_OVARY,Endometrioid,Endometrioid,0.883458647
SRR8615753,OVKATE,OVKATE_OVARY,HGS,HGS,0.946840522
SRR8615734,OVMANA,OVMANA_OVARY,Clear_cell,Clear_cell,0.991714751
SRR8616155,OVSAHO,OVSAHO_OVARY,HGS,HGS,0.946840522
SRR8616154,OVTOKO,OVTOKO_OVARY,Clear_cell,Clear_cell,0.991714751
SRR8615439,RMGI,RMGI_OVARY,Clear_cell,Clear_cell,0.991714751
SRR8615438,RMUGS,RMUGS_OVARY,Mucinous,Mucinous,1
SRR8615505,SKOV3,SKOV3_OVARY,Serous,Clear_cell,0.98384926
SRR8615939,SNU119,SNU119_OVARY,HGS,HGS,0.946840522
SRR8615478,SNU8,SNU8_OVARY,Serous,HGS,0.192484613
SRR8616085,TOV112D,TOV112D_OVARY,Endometrioid,Endometrioid,0.883458647
SRR8615729,TOV21G,TOV21G_OVARY,Clear_cell,Clear_cell,0.991714751
SRR8615895,TYKnu,TYKNU_OVARY,HGS,LGS,0.917071591
SRR8616171,X59M,X59M_OVARY,Endometrioid,LGS,0.925860711
