"","ensembl_gene_id","hgnc_symbol"
"1","ENSG00000000457","SCYL3"
"2","ENSG00000000460","FIRRM"
"3","ENSG00000000938","FGR"
"4","ENSG00000000971","CFH"
"5","ENSG00000001460","STPG1"
"6","ENSG00000001461","NIPAL3"
"7","ENSG00000004455","AK2"
"8","ENSG00000004487","KDM1A"
"9","ENSG00000006555","TTC22"
"10","ENSG00000007341","ST7L"
"11","ENSG00000007908","SELE"
"12","ENSG00000007923","DNAJC11"
"13","ENSG00000007933","FMO3"
"14","ENSG00000007968","E2F2"
"15","ENSG00000008118","CAMK1G"
"16","ENSG00000008128","CDK11A"
"17","ENSG00000008130","NADK"
"18","ENSG00000009307","CSDE1"
"19","ENSG00000009709","PAX7"
"20","ENSG00000009724","MASP2"
"21","ENSG00000009780","FAM76A"
"22","ENSG00000009790","TRAF3IP3"
"23","ENSG00000010165","METTL13"
"24","ENSG00000010803","SCMH1"
"25","ENSG00000010932","FMO1"
"26","ENSG00000011007","ELOA"
"27","ENSG00000011009","LYPLA2"
"28","ENSG00000011021","CLCN6"
"29","ENSG00000014914","MTMR11"
"30","ENSG00000016490","CLCA1"
"31","ENSG00000016602","CLCA4"
"32","ENSG00000018625","ATP1A2"
"33","ENSG00000020129","NCDN"
"34","ENSG00000020633","RUNX3"
"35","ENSG00000021852","C8B"
"36","ENSG00000023572","GLRX2"
"37","ENSG00000023902","PLEKHO1"
"38","ENSG00000023909","GCLM"
"39","ENSG00000024526","DEPDC1"
"40","ENSG00000025800","KPNA6"
"41","ENSG00000026751","SLAMF7"
"42","ENSG00000027644","INSRR"
"43","ENSG00000027869","SH2D2A"
"44","ENSG00000028137","TNFRSF1B"
"45","ENSG00000031698","SARS1"
"46","ENSG00000033122","LRRC7"
"47","ENSG00000034971","MYOC"
"48","ENSG00000036549","ZZZ3"
"49","ENSG00000037637","FBXO42"
"50","ENSG00000040487","SLC66A1"
"51","ENSG00000041988","THAP3"
"52","ENSG00000043514","TRIT1"
"53","ENSG00000044012","GUCA2B"
"54","ENSG00000047410","TPR"
"55","ENSG00000048707","VPS13D"
"56","ENSG00000049089","COL9A2"
"57","ENSG00000049239","H6PD"
"58","ENSG00000049245","VAMP3"
"59","ENSG00000049246","PER3"
"60","ENSG00000049247","UTS2"
"61","ENSG00000049249","TNFRSF9"
"62","ENSG00000050628","PTGER3"
"63","ENSG00000052723","SIKE1"
"64","ENSG00000053371","AKR7A2"
"65","ENSG00000053372","MRTO4"
"66","ENSG00000054116","TRAPPC3"
"67","ENSG00000054118","THRAP3"
"68","ENSG00000054392","HHAT"
"69","ENSG00000054523","KIF1B"
"70","ENSG00000055070","SZRD1"
"71","ENSG00000055732","MCOLN3"
"72","ENSG00000057252","SOAT1"
"73","ENSG00000057468","MSH4"
"74","ENSG00000057757","PITHD1"
"75","ENSG00000058085","LAMC2"
"76","ENSG00000058453","CROCC"
"77","ENSG00000058668","ATP2B4"
"78","ENSG00000058673","ZC3H11A"
"79","ENSG00000058799","YIPF1"
"80","ENSG00000058804","NDC1"
"81","ENSG00000060642","PIGV"
"82","ENSG00000060656","PTPRU"
"83","ENSG00000060688","SNRNP40"
"84","ENSG00000060718","COL11A1"
"85","ENSG00000064703","DDX20"
"86","ENSG00000064886","CHI3L2"
"87","ENSG00000065135","GNAI3"
"88","ENSG00000065183","WDR3"
"89","ENSG00000065243","PKN2"
"90","ENSG00000065526","SPEN"
"91","ENSG00000065978","YBX1"
"92","ENSG00000066056","TIE1"
"93","ENSG00000066135","KDM4A"
"94","ENSG00000066136","NFYC"
"95","ENSG00000066185","ZMYND12"
"96","ENSG00000066279","ASPM"
"97","ENSG00000066294","CD84"
"98","ENSG00000066322","ELOVL1"
"99","ENSG00000066557","LRRC40"
"100","ENSG00000067208","EVI5"
"101","ENSG00000067334","DNTTIP2"
"102","ENSG00000067606","PRKCZ"
"103","ENSG00000069275","NUCKS1"
"104","ENSG00000069424","KCNAB2"
"105","ENSG00000069702","TGFBR3"
"106","ENSG00000069812","HES2"
"107","ENSG00000070759","TESK2"
"108","ENSG00000070785","EIF2B3"
"109","ENSG00000070831","CDC42"
"110","ENSG00000070886","EPHA8"
"111","ENSG00000072694","FCGR2B"
"112","ENSG00000073754","CD5L"
"113","ENSG00000073756","PTGS2"
"114","ENSG00000074800","ENO1"
"115","ENSG00000074964","ARHGEF10L"
"116","ENSG00000075151","EIF4G3"
"117","ENSG00000075391","RASAL2"
"118","ENSG00000075945","KIFAP3"
"119","ENSG00000076258","FMO4"
"120","ENSG00000076321","KLHL20"
"121","ENSG00000076356","PLXNA2"
"122","ENSG00000076864","RAP1GAP"
"123","ENSG00000077152","UBE2T"
"124","ENSG00000077157","PPP1R12B"
"125","ENSG00000077254","USP33"
"126","ENSG00000077549","CAPZB"
"127","ENSG00000078369","GNB1"
"128","ENSG00000078618","NRDC"
"129","ENSG00000078808","SDF4"
"130","ENSG00000078900","TP73"
"131","ENSG00000079277","MKNK1"
"132","ENSG00000079335","CDC14A"
"133","ENSG00000079739","PGM1"
"134","ENSG00000080910","CFHR2"
"135","ENSG00000080947","CROCCP3"
"136","ENSG00000081019","RSBN1"
"137","ENSG00000081026","MAGI3"
"138","ENSG00000081237","PTPRC"
"139","ENSG00000081248","CACNA1S"
"140","ENSG00000081277","PKP1"
"141","ENSG00000081721","DUSP12"
"142","ENSG00000081870","IFT25"
"143","ENSG00000081985","IL12RB2"
"144","ENSG00000082497","SERTAD4"
"145","ENSG00000082512","TRAF5"
"146","ENSG00000083444","PLOD1"
"147","ENSG00000084070","SMAP2"
"148","ENSG00000084072","PPIE"
"149","ENSG00000084073","ZMPSTE24"
"150","ENSG00000084623","EIF3I"
"151","ENSG00000084628","NKAIN1"
"152","ENSG00000084636","COL16A1"
"153","ENSG00000084652","TXLNA"
"154","ENSG00000085433","WDR47"
"155","ENSG00000085465","OVGP1"
"156","ENSG00000085491","SLC25A24"
"157","ENSG00000085552","IGSF9"
"158","ENSG00000085831","TTC39A"
"159","ENSG00000085832","EPS15"
"160","ENSG00000085840","ORC1"
"161","ENSG00000085998","POMGNT1"
"162","ENSG00000085999","RAD54L"
"163","ENSG00000086015","MAST2"
"164","ENSG00000088035","ALG6"
"165","ENSG00000088280","ASAP3"
"166","ENSG00000090020","SLC9A1"
"167","ENSG00000090104","RGS1"
"168","ENSG00000090273","NUDC"
"169","ENSG00000090432","MUL1"
"170","ENSG00000090621","PABPC4"
"171","ENSG00000090686","USP48"
"172","ENSG00000092607","TBX15"
"173","ENSG00000092621","PHGDH"
"174","ENSG00000092847","AGO1"
"175","ENSG00000092850","TEKT2"
"176","ENSG00000092853","CLSPN"
"177","ENSG00000094963","FMO2"
"178","ENSG00000094975","SUCO"
"179","ENSG00000097021","ACOT7"
"180","ENSG00000097033","SH3GLB1"
"181","ENSG00000097046","CDC7"
"182","ENSG00000097096","SYDE2"
"183","ENSG00000099260","PALMD"
"184","ENSG00000107404","DVL1"
"185","ENSG00000116128","BCL9"
"186","ENSG00000116132","PRRX1"
"187","ENSG00000116133","DHCR24"
"188","ENSG00000116138","DNAJC16"
"189","ENSG00000116147","TNR"
"190","ENSG00000116151","MORN1"
"191","ENSG00000116157","GPX7"
"192","ENSG00000116161","CACYBP"
"193","ENSG00000116171","SCP2"
"194","ENSG00000116183","PAPPA2"
"195","ENSG00000116191","RALGPS2"
"196","ENSG00000116194","ANGPTL1"
"197","ENSG00000116198","CEP104"
"198","ENSG00000116199","FAM20B"
"199","ENSG00000116205","TCEANC2"
"200","ENSG00000116209","TMEM59"
"201","ENSG00000116212","LRRC42"
"202","ENSG00000116213","WRAP73"
"203","ENSG00000116218","NPHS2"
"204","ENSG00000116221","MRPL37"
"205","ENSG00000116237","ICMT"
"206","ENSG00000116251","RPL22"
"207","ENSG00000116254","CHD5"
"208","ENSG00000116260","QSOX1"
"209","ENSG00000116266","STXBP3"
"210","ENSG00000116273","PHF13"
"211","ENSG00000116285","ERRFI1"
"212","ENSG00000116288","PARK7"
"213","ENSG00000116299","ELAPOR1"
"214","ENSG00000116329","OPRD1"
"215","ENSG00000116337","AMPD2"
"216","ENSG00000116350","SRSF4"
"217","ENSG00000116353","MECR"
"218","ENSG00000116396","KCNC4"
"219","ENSG00000116406","EDEM3"
"220","ENSG00000116455","WDR77"
"221","ENSG00000116459","ATP5PB"
"222","ENSG00000116473","RAP1A"
"223","ENSG00000116478","HDAC1"
"224","ENSG00000116489","CAPZA1"
"225","ENSG00000116497","S100PBP"
"226","ENSG00000116514","RNF19B"
"227","ENSG00000116521","SCAMP3"
"228","ENSG00000116525","TRIM62"
"229","ENSG00000116539","ASH1L"
"230","ENSG00000116544","DLGAP3"
"231","ENSG00000116560","SFPQ"
"232","ENSG00000116580","GON4L"
"233","ENSG00000116584","ARHGEF2"
"234","ENSG00000116586","LAMTOR2"
"235","ENSG00000116604","MEF2D"
"236","ENSG00000116641","DOCK7"
"237","ENSG00000116649","SRM"
"238","ENSG00000116652","DLEU2L"
"239","ENSG00000116661","FBXO2"
"240","ENSG00000116663","FBXO6"
"241","ENSG00000116667","C1orf21"
"242","ENSG00000116668","SWT1"
"243","ENSG00000116670","MAD2L2"
"244","ENSG00000116675","DNAJC6"
"245","ENSG00000116678","LEPR"
"246","ENSG00000116679","IVNS1ABP"
"247","ENSG00000116685","KIAA2013"
"248","ENSG00000116688","MFN2"
"249","ENSG00000116690","PRG4"
"250","ENSG00000116691","MIIP"
"251","ENSG00000116698","SMG7"
"252","ENSG00000116701","NCF2"
"253","ENSG00000116703","PDC"
"254","ENSG00000116704","SLC35D1"
"255","ENSG00000116711","PLA2G4A"
"256","ENSG00000116717","GADD45A"
"257","ENSG00000116721","PRAMEF1"
"258","ENSG00000116726","PRAMEF12"
"259","ENSG00000116729","WLS"
"260","ENSG00000116731","PRDM2"
"261","ENSG00000116741","RGS2"
"262","ENSG00000116745","RPE65"
"263","ENSG00000116747","RO60"
"264","ENSG00000116748","AMPD1"
"265","ENSG00000116750","UCHL5"
"266","ENSG00000116752","BCAS2"
"267","ENSG00000116754","SRSF11"
"268","ENSG00000116761","CTH"
"269","ENSG00000116771","AGMAT"
"270","ENSG00000116774","OLFML3"
"271","ENSG00000116783","TNNI3K"
